Year,Month,Source,Producto,Etiqueta,Tamaño,Color,Cajas,Kilos,Importe_Venta
2024,Enero,isla,Calabaza,GENERICA,1 ERA,,15,0.0,0.0
2024,Enero,isla,Pepino,GENERICA,LARGE,,14,0.0,0.0
2024,Enero,isla,Serrano,ARPILLA,SIN TAMAÑO,,43,1157.0,0.0
2024,Enero,isla,Tomate Bola,GENERICA,4 X 5,,36,0.0,0.0
2024,Enero,isla,Tomate Saladete,GENERICA,3 ERA,,13,0.0,0.0
2024,Enero,isla,Tomate Saladete,ARROYO VALLEY,LG,,31,0.0,0.0
2024,Enero,isla,Tomate Saladete,GENERICA,LG,,151,0.0,0.0
2024,Enero,isla,Tomate Saladete,GRECOS,LG,,8,0.0,0.0
2024,Enero,isla,Tomate Saladete,HERLIM,LG,,116,0.0,0.0
2024,Enero,isla,Tomate Saladete,TOLIN,LG,,29,0.0,0.0
2024,Enero,isla,Tomate Saladete,ARROYO VALLEY,MD,,40,0.0,0.0
2024,Enero,isla,Tomate Saladete,GENERICA,MD,,82,0.0,0.0
2024,Enero,isla,Tomate Saladete,GRECOS,MD,,93,0.0,0.0
2024,Enero,isla,Tomate Saladete,PACIFIC,MD,,46,0.0,0.0
2024,Enero,isla,Tomate Saladete,CATALINA,SM,,3,0.0,0.0
2024,Enero,isla,Tomate Saladete,GENERICA,SM,,538,0.0,0.0
2024,Enero,isla,Tomate Saladete,PACIFIC,SM,,16,0.0,0.0
2024,Enero,isla,Tomate Saladete,ARROYO VALLEY,SSM,,68,0.0,0.0
2024,Enero,isla,Tomate Saladete,GENERICA,SSM,,1,0.0,0.0
2024,Enero,isla,Tomate Saladete,EL SILLAR,XL,,2,0.0,0.0
2024,Enero,isla,Tomate Saladete,GENERICA,XL,,1,0.0,0.0
2024,Enero,isla,Tomate Saladete,GRECOS,XL,,54,0.0,0.0
2024,Enero,isla,Tomate Saladete,PACIFIC,XL,,4,0.0,0.0
2024,Enero,isla,Tomate Saladete,RR,XL,,2186,0.0,0.0
2024,Enero,isla,Tomate Saladete,RUDY,XL,,36,0.0,0.0
2024,Enero,isla,Tomate Saladete,RUDY,XXL,,22,0.0,0.0
2024,Febrero,isla,Calabaza,GENERICA,1 ERA,,122,0.0,0.0
2024,Febrero,isla,Serrano,ARPILLA,SIN TAMAÑO,,28,429.0,0.0
2024,Febrero,isla,Tomate Saladete,BONITO,LG,,519,0.0,0.0
2024,Febrero,isla,Tomate Saladete,GENERICA,LG,,2253,0.0,0.0
2024,Febrero,isla,Tomate Saladete,RR,LG,,432,0.0,0.0
2024,Febrero,isla,Tomate Saladete,SUNNY,LG,,212,0.0,0.0
2024,Febrero,isla,Tomate Saladete,GENERICA,MD,,560,0.0,0.0
2024,Febrero,isla,Tomate Saladete,RR,MD,,504,0.0,0.0
2024,Febrero,isla,Tomate Saladete,SUNNY,MD,,221,0.0,0.0
2024,Febrero,isla,Tomate Saladete,GENERICA,SM,,49,0.0,0.0
2024,Febrero,isla,Tomate Saladete,VILMOS,SM,,75,0.0,0.0
2024,Febrero,isla,Tomate Saladete,BONITO,XL,,64,0.0,0.0
2024,Febrero,isla,Tomate Saladete,GENERICA,XL,,1806,0.0,0.0
2024,Febrero,isla,Tomate Saladete,HERLIM,XL,,11,0.0,0.0
2024,Febrero,isla,Tomate Saladete,NOVILLO,XL,,117,0.0,0.0
2024,Febrero,isla,Tomate Saladete,RR,XL,,648,0.0,0.0
2024,Febrero,isla,Tomate Saladete,RUDY,XL,,44,0.0,0.0
2024,Febrero,isla,Tomate Saladete,SUNNY,XL,,5,0.0,0.0
2024,Febrero,isla,Tomate Saladete,GENERICA,XXL,,506,0.0,0.0
2024,Marzo,isla,Calabaza,GENERICA,1 ERA,,58,0.0,0.0
2024,Marzo,isla,Pepino,GENERICA,LARGE,,6,0.0,0.0
2024,Marzo,isla,Tomate Saladete,RR,LG,,20,0.0,0.0
2024,Marzo,isla,Tomate Saladete,SAN JOSE,LG,,145,0.0,0.0
2024,Marzo,isla,Tomate Saladete,YAMETO,LG,,54,0.0,0.0
2024,Marzo,isla,Tomate Saladete,SAN JOSE,MD,,81,0.0,0.0
2024,Marzo,isla,Tomate Saladete,SIR HENRY,MD,,51,0.0,0.0
2024,Marzo,isla,Tomate Saladete,PACIFIC,XL,,145,0.0,0.0
2024,Marzo,isla,Tomate Saladete,RR,XL,,1581,0.0,0.0
2024,Marzo,isla,Tomate Saladete,SIR HENRY,XL,,114,0.0,0.0
2024,Marzo,isla,Tomate Saladete,TRIPLE H,XL,,336,0.0,0.0
2024,Marzo,isla,Tomate Saladete,YEYO´S,XL,,90,0.0,0.0
2024,Marzo,isla,Tomate Saladete,GENERICA,XXL,,270,0.0,0.0
2024,Abril,isla,Calabaza,GENERICA,1 ERA,,288,0.0,0.0
2024,Abril,isla,Pepino,GRECOS,SM,,1127,0.0,0.0
2024,Abril,isla,Pepino,SUNNY,SM,,49,0.0,0.0
2024,Abril,isla,Tomate Bola,GENERICA,4 X 5,,4,0.0,0.0
2024,Abril,isla,Tomate Bola,BIG TOM,5 X 5,,23,0.0,0.0
2024,Abril,isla,Tomate Saladete,GENERICA,LG,,22,0.0,0.0
2024,Abril,isla,Tomate Saladete,WIWI,LG,,45,0.0,0.0
2024,Abril,isla,Tomate Saladete,ASTERI,MD,,99,0.0,0.0
2024,Abril,isla,Tomate Saladete,GABO,MD,,57,0.0,0.0
2024,Abril,isla,Tomate Saladete,SIR HENRY,MD,,8,0.0,0.0
2024,Abril,isla,Tomate Saladete,SIR HENRY,SM,,20,0.0,0.0
2024,Abril,isla,Tomate Saladete,YEYO´S,SM,,26,0.0,0.0
2024,Abril,isla,Tomate Saladete,CATALINA,XL,,1,0.0,0.0
2024,Abril,isla,Tomate Saladete,EL SILLAR,XL,,19,0.0,0.0
2024,Abril,isla,Tomate Saladete,FRESH,XL,,17,0.0,0.0
2024,Abril,isla,Tomate Saladete,GENERICA,XL,,5434,0.0,0.0
2024,Abril,isla,Tomate Saladete,RED VALLEY,XL,,18,0.0,0.0
2024,Abril,isla,Tomate Saladete,SIR HENRY,XL,,1,0.0,0.0
2024,Abril,isla,Tomate Saladete,TERRA,XL,,61,0.0,0.0
2024,Mayo,isla,Chile Habanero,GENERICA,SIN TAMAÑO,,6,60.0,0.0
2024,Mayo,isla,Jalapeño,GENERICA,SIN TAMAÑO,,1385,22418.0,0.0
2024,Mayo,isla,Tomate Bola,GENERICA,5 X 5,,58,0.0,0.0
2024,Mayo,isla,Tomate Saladete,GENERICA,3 ERA,,160,0.0,0.0
2024,Mayo,isla,Tomate Saladete,AGROBEST ,LG,,27,0.0,0.0
